Timestamp,Las instrucciones para aplicar a TBB eran claras,El tiempo que me tomó completar mi aplicación a TBB fue razonable,La plataforma utilizada para aplicar (Google forms) era fácil de manejar,"Los materiales que TBB ha puesto a disposición (por ejemplo, la Guía para Postular a Becas) fueron útiles",La diseminación de información para aplicar a TBB fue suficiente,"Durante el proceso de aplicación, el tiempo de respuesta a mis consultas fue corto",Que aspectos crees que deben ser considerados para seleccionar a los que se beneficiarán de las tutorías gratuitas de tu TBB:,"Si tienes otra sugerencia o recomendación para el proceso de selección, por favor, escribe a a continuación:",Cómo te enteraste sobre las tutorías gratuitas de tu TBB:
11/19/2017 1:41:30,5,5,5,5,3,5,"Motivación, Excelencia e Idioma",,Facebook
11/19/2017 1:41:40,3,3,4,3,2,4,Motivacion,,Facebook
11/19/2017 1:42:03,3,3,5,2,2,3,Nivel de Idioma,,Facebook
11/19/2017 1:42:31,4,5,5,5,5,5,Situacion Socioacademica y Motivacion,,Facebook
11/19/2017 1:43:58,4,4,4,5,5,5,Excelencia académica ,Periódicos ,Universidad
11/19/2017 1:44:14,4,4,4,5,5,3,,,Facebook
11/19/2017 1:44:31,5,5,5,5,5,5,Excelencia académica y motivación,,Facebook
11/19/2017 1:44:43,3,3,1,4,4,3,Considero que debería valorarse mas a los que somos de la universidad publica ,Seria bueno saber en que posición quedamos para saber que mejorar en otra convocatoria,Facebook
11/19/2017 1:44:44,3,3,1,4,4,3,Considero que debería valorarse mas a los que somos de la universidad publica ,Seria bueno saber en que posición quedamos para saber que mejorar en otra convocatoria,Facebook
11/19/2017 1:44:50,4,4,3,4,4,3,Motivación y excelencia académica ,,Facebook
11/19/2017 1:45:18,4,4,5,4,3,3,,"brindar información de ayuda, como links de reportes de diferentes áreas, o de bibliotecas virtuales para poder consultar libros de nuestra área profesional, ya sean medicina, economía o ingeniería, así la paginas se hace mas activa y queda mas en el subconsciente de todos los que la seguimos",Facebook
11/19/2017 1:46:28,4,4,5,4,3,4,Excelencia académica y motivación ,Quisiera saber los pasos de la evaluación ya que hasta el momento no sé en que etapa va el proceso. ,Referencia de un amigo
11/19/2017 1:47:20,4,5,4,5,5,5,"Motivacíon y ganas de querer superarse, teniendo la oportunidad de salir del pais y amplian el conocimiento adquirido en la Universidad.",Deberian tomar mas encuenta a los recién egresados que tienen las ganas y las pilas puestas para estudiar y aprovechar al maximo la beca y no desperdiciarla. ,Facebook
11/19/2017 1:49:44,3,4,4,5,4,3,Motivación y situación socio económica ,,Facebook
11/19/2017 1:50:19,3,5,5,4,3,3,MOTIVACIÓN,Video entrevista ,Facebook
11/19/2017 1:50:54,3,3,4,2,2,2,Las Ganas de superarse es mas importante porque se tiene las ganas de aprender. Y una nota no califica lo que uno es.,,Facebook
11/19/2017 1:51:29,5,5,5,3,3,2,Los parámetros actuales son suficientes. ,,Facebook
11/19/2017 1:52:23,5,4,5,5,3,5,Excelencia académica,Respuesta de si uno fue aprobado o no,Facebook
11/19/2017 1:57:34,5,5,5,5,4,5,"motivación, idioma",,Referencia de un amigo
11/19/2017 1:57:37,2,2,1,2,3,2,Excelencia académica ,,Facebook
11/19/2017 2:07:01,4,4,4,4,4,4,,,Facebook
